Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCSFS,Transporter-1,"~5,000 kg",SSO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Success,24 January 2021,15:00
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",<function booster_version at 0x00000277097CCA40>,Failure,4 June 2010,18:45
1,CCAFS,Dragon,0,LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,"No attempt
",4 June 2010,18:45
1,CCAFS,Dragon,525 kg,LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,No attempt,4 June 2010,18:45
1,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,"No attempt
",4 June 2010,18:45
1,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Uncontrolled,4 June 2010,18:45
1,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,<function booster_version at 0x00000277097CCA40>,No attempt,4 June 2010,18:45
1,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,<function booster_version at 0x00000277097CCA40>,No attempt,4 June 2010,18:45
2,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,<function booster_version at 0x00000277097CCA40>,Controlled,4 June 2010,18:45
3,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",<function booster_version at 0x00000277097CCA40>,Controlled,8 December 2010,15:43
4,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,<function booster_version at 0x00000277097CCA40>,No attempt,22 May 2012,07:44
5,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,<function booster_version at 0x00000277097CCA40>,"No attempt
",8 October 2012,00:35
6,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,<function booster_version at 0x00000277097CCA40>,Uncontrolled,1 March 2013,15:10
7,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Failure ,29 September 2013,16:00
8,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,<function booster_version at 0x00000277097CCA40>,Controlled,3 December 2013,22:41
